write_fact_A,query_B,expected_output_A
Mega Gunawan lahir dan dibesarkan di kota Medan.,Di mana Mega Gunawan lahir dan dibesarkan?,Medan
Mega memiliki peliharaan Kura-kura yang diberi nama Daisy.,Siapa nama Kura-kura peliharaan Mega?,Daisy
Kode rahasia untuk User_479 adalah 532850.,Apa kode rahasia untuk User_479?,532850
Nita baru saja membeli mobil Nissan yang warnanya Cokelat.,Apa warna mobil Nissan yang dibeli Nita?,Cokelat
Kendaraan sehari-hari Dian adalah mobil Mitsubishi berwarna Abu-abu.,Apa merek dan warna mobil Dian?,Mitsubishi berwarna Abu-abu
"Nama lengkap orang ini adalah Rini Halim, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Rini Halim
Mega baru saja membeli mobil Hyundai yang warnanya Merah Muda.,Apa warna mobil Hyundai yang dibeli Mega?,Merah Muda
Fitri memiliki peliharaan Kelinci yang diberi nama Leo.,Siapa nama Kelinci peliharaan Fitri?,Leo
Eko Saputra bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Eko Saputra?,Programmer
Aris baru saja membeli mobil Toyota yang warnanya Perak.,Apa warna mobil Toyota yang dibeli Aris?,Perak
Kode rahasia untuk User_278 adalah 938108.,Apa kode rahasia untuk User_278?,938108
Kode rahasia untuk User_869 adalah 355486.,Apa kode rahasia untuk User_869?,355486
Kendaraan sehari-hari Dedy adalah mobil Toyota berwarna Cokelat.,Apa merek dan warna mobil Dedy?,Toyota berwarna Cokelat
Putri memiliki peliharaan Ikan yang diberi nama Zorro.,Siapa nama Ikan peliharaan Putri?,Zorro
Kendaraan sehari-hari Hendra adalah mobil Chevrolet berwarna Merah.,Apa merek dan warna mobil Hendra?,Chevrolet berwarna Merah
Maya baru saja membeli mobil BMW yang warnanya Hijau.,Apa warna mobil BMW yang dibeli Maya?,Hijau
Kendaraan sehari-hari Eko adalah mobil Mercedes-Benz berwarna Ungu.,Apa merek dan warna mobil Eko?,Mercedes-Benz berwarna Ungu
Rini Setiawan lahir dan dibesarkan di kota Makassar.,Di mana Rini Setiawan lahir dan dibesarkan?,Makassar
Hendra Pratama lahir dan dibesarkan di kota Jakarta.,Di mana Hendra Pratama lahir dan dibesarkan?,Jakarta
Kendaraan sehari-hari Andi adalah mobil Ford berwarna Perak.,Apa merek dan warna mobil Andi?,Ford berwarna Perak
Budi Nugroho bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Budi Nugroho?,Guru
Doni baru saja membeli mobil Lexus yang warnanya Kuning.,Apa warna mobil Lexus yang dibeli Doni?,Kuning
Kendaraan sehari-hari Agus adalah mobil Toyota berwarna Emas.,Apa merek dan warna mobil Agus?,Toyota berwarna Emas
Putri baru saja membeli mobil Honda yang warnanya Hitam.,Apa warna mobil Honda yang dibeli Putri?,Hitam
Siti memiliki peliharaan Ayam yang diberi nama Rocky.,Siapa nama Ayam peliharaan Siti?,Rocky
Ayu Purnama lahir dan dibesarkan di kota Ambon.,Di mana Ayu Purnama lahir dan dibesarkan?,Ambon
"Nama lengkap orang ini adalah Agus Putra, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Agus Putra
Hendra Hidayat bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Hendra Hidayat?,Penulis
Iwan Nugroho bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Iwan Nugroho?,Wartawan
Putri Hidayat bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Putri Hidayat?,Programmer
Aris Nasution lahir dan dibesarkan di kota Balikpapan.,Di mana Aris Nasution lahir dan dibesarkan?,Balikpapan
Sari memiliki peliharaan Kura-kura yang diberi nama Daisy.,Siapa nama Kura-kura peliharaan Sari?,Daisy
Maya Purnama bekerja sebagai seorang Programmer profesional.,Apa pekerjaan dari Maya Purnama?,Programmer
Kode rahasia untuk User_777 adalah 271344.,Apa kode rahasia untuk User_777?,271344
Wati Santoso lahir dan dibesarkan di kota Palembang.,Di mana Wati Santoso lahir dan dibesarkan?,Palembang
"Nama lengkap orang ini adalah Dian Simanjuntak, dan dia berasal dari Manado.",Siapa nama lengkap orang yang berasal dari Manado ini?,Dian Simanjuntak
Kendaraan sehari-hari Rio adalah mobil Ford berwarna Ungu.,Apa merek dan warna mobil Rio?,Ford berwarna Ungu
Fitri Hidayat lahir dan dibesarkan di kota Jakarta.,Di mana Fitri Hidayat lahir dan dibesarkan?,Jakarta
Kode rahasia untuk User_174 adalah 959462.,Apa kode rahasia untuk User_174?,959462
Bayu memiliki peliharaan Hamster yang diberi nama Luna.,Siapa nama Hamster peliharaan Bayu?,Luna
"Nama lengkap orang ini adalah Sari Nasution, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Sari Nasution
Rudi Pratama bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Rudi Pratama?,Seniman
Kode rahasia untuk User_385 adalah 955197.,Apa kode rahasia untuk User_385?,955197
Kendaraan sehari-hari Sari adalah mobil BMW berwarna Merah Muda.,Apa merek dan warna mobil Sari?,BMW berwarna Merah Muda
Kode rahasia untuk User_335 adalah 931338.,Apa kode rahasia untuk User_335?,931338
Kendaraan sehari-hari Rina adalah mobil Ford berwarna Perak.,Apa merek dan warna mobil Rina?,Ford berwarna Perak
Kode rahasia untuk User_839 adalah 241314.,Apa kode rahasia untuk User_839?,241314
Kode rahasia untuk User_722 adalah 891026.,Apa kode rahasia untuk User_722?,891026
Andi Lim lahir dan dibesarkan di kota Ambon.,Di mana Andi Lim lahir dan dibesarkan?,Ambon
Bayu memiliki peliharaan Burung yang diberi nama Oyen.,Siapa nama Burung peliharaan Bayu?,Oyen
Kendaraan sehari-hari Dewi adalah mobil Ford berwarna Abu-abu.,Apa merek dan warna mobil Dewi?,Ford berwarna Abu-abu
Kendaraan sehari-hari Rudi adalah mobil Suzuki berwarna Oranye.,Apa merek dan warna mobil Rudi?,Suzuki berwarna Oranye
Doni Hidayat lahir dan dibesarkan di kota Pekanbaru.,Di mana Doni Hidayat lahir dan dibesarkan?,Pekanbaru
Kendaraan sehari-hari Dewi adalah mobil Audi berwarna Perak.,Apa merek dan warna mobil Dewi?,Audi berwarna Perak
Lia baru saja membeli mobil Audi yang warnanya Merah Muda.,Apa warna mobil Audi yang dibeli Lia?,Merah Muda
"Nama lengkap orang ini adalah Putri Suryono, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Putri Suryono
Nina baru saja membeli mobil Mercedes-Benz yang warnanya Putih.,Apa warna mobil Mercedes-Benz yang dibeli Nina?,Putih
Tono Nugroho bekerja sebagai seorang Seniman profesional.,Apa pekerjaan dari Tono Nugroho?,Seniman
Kendaraan sehari-hari Rio adalah mobil Toyota berwarna Perak.,Apa merek dan warna mobil Rio?,Toyota berwarna Perak
Agus Nugroho lahir dan dibesarkan di kota Padang.,Di mana Agus Nugroho lahir dan dibesarkan?,Padang
Budi baru saja membeli mobil Suzuki yang warnanya Hijau.,Apa warna mobil Suzuki yang dibeli Budi?,Hijau
Aris memiliki peliharaan Burung yang diberi nama Molly.,Siapa nama Burung peliharaan Aris?,Molly
Dian Putra bekerja sebagai seorang Wartawan profesional.,Apa pekerjaan dari Dian Putra?,Wartawan
"Nama lengkap orang ini adalah Rina Simanjuntak, dan dia berasal dari Jakarta.",Siapa nama lengkap orang yang berasal dari Jakarta ini?,Rina Simanjuntak
Eko baru saja membeli mobil BMW yang warnanya Putih.,Apa warna mobil BMW yang dibeli Eko?,Putih
"Nama lengkap orang ini adalah Bayu Wibowo, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Bayu Wibowo
Rio baru saja membeli mobil Mercedes-Benz yang warnanya Biru.,Apa warna mobil Mercedes-Benz yang dibeli Rio?,Biru
"Nama lengkap orang ini adalah Bayu Gunawan, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Bayu Gunawan
Bayu memiliki peliharaan Burung yang diberi nama Coco.,Siapa nama Burung peliharaan Bayu?,Coco
"Nama lengkap orang ini adalah Putri Halim, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Putri Halim
Kendaraan sehari-hari Sari adalah mobil Audi berwarna Hijau.,Apa merek dan warna mobil Sari?,Audi berwarna Hijau
"Nama lengkap orang ini adalah Agus Santoso, dan dia berasal dari Palembang.",Siapa nama lengkap orang yang berasal dari Palembang ini?,Agus Santoso
Rudi baru saja membeli mobil Suzuki yang warnanya Kuning.,Apa warna mobil Suzuki yang dibeli Rudi?,Kuning
Kode rahasia untuk User_598 adalah 794853.,Apa kode rahasia untuk User_598?,794853
Dewi baru saja membeli mobil Lexus yang warnanya Cokelat.,Apa warna mobil Lexus yang dibeli Dewi?,Cokelat
Rudi Rahman bekerja sebagai seorang Pramugari profesional.,Apa pekerjaan dari Rudi Rahman?,Pramugari
Nina memiliki peliharaan Hamster yang diberi nama Rocky.,Siapa nama Hamster peliharaan Nina?,Rocky
Kendaraan sehari-hari Siti adalah mobil Daihatsu berwarna Merah.,Apa merek dan warna mobil Siti?,Daihatsu berwarna Merah
Maya Nugroho bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Maya Nugroho?,Arsitek
Nina memiliki peliharaan Kucing yang diberi nama Kiko.,Siapa nama Kucing peliharaan Nina?,Kiko
Rini memiliki peliharaan Anjing yang diberi nama Bella.,Siapa nama Anjing peliharaan Rini?,Bella
Kendaraan sehari-hari Ayu adalah mobil Mercedes-Benz berwarna Merah Muda.,Apa merek dan warna mobil Ayu?,Mercedes-Benz berwarna Merah Muda
Kendaraan sehari-hari Bayu adalah mobil Lexus berwarna Kuning.,Apa merek dan warna mobil Bayu?,Lexus berwarna Kuning
Joko Wijaya bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Joko Wijaya?,Nelayan
"Nama lengkap orang ini adalah Lia Nugroho, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Lia Nugroho
Nita memiliki peliharaan Bebek yang diberi nama Mochi.,Siapa nama Bebek peliharaan Nita?,Mochi
Siti memiliki peliharaan Bebek yang diberi nama Kiko.,Siapa nama Bebek peliharaan Siti?,Kiko
Nina Suryono lahir dan dibesarkan di kota Banjarmasin.,Di mana Nina Suryono lahir dan dibesarkan?,Banjarmasin
Agus Lim lahir dan dibesarkan di kota Jakarta.,Di mana Agus Lim lahir dan dibesarkan?,Jakarta
"Nama lengkap orang ini adalah Siti Utama, dan dia berasal dari Denpasar.",Siapa nama lengkap orang yang berasal dari Denpasar ini?,Siti Utama
Aris memiliki peliharaan Ikan yang diberi nama Max.,Siapa nama Ikan peliharaan Aris?,Max
Putri memiliki peliharaan Hamster yang diberi nama Max.,Siapa nama Hamster peliharaan Putri?,Max
Kendaraan sehari-hari Rini adalah mobil Mazda berwarna Oranye.,Apa merek dan warna mobil Rini?,Mazda berwarna Oranye
"Nama lengkap orang ini adalah Rudi Gunawan, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Rudi Gunawan
Aris Rahman lahir dan dibesarkan di kota Manado.,Di mana Aris Rahman lahir dan dibesarkan?,Manado
Budi memiliki peliharaan Kelinci yang diberi nama Rocky.,Siapa nama Kelinci peliharaan Budi?,Rocky
"Nama lengkap orang ini adalah Dewi Utama, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Dewi Utama
Kendaraan sehari-hari Iwan adalah mobil Mercedes-Benz berwarna Hijau.,Apa merek dan warna mobil Iwan?,Mercedes-Benz berwarna Hijau
Kendaraan sehari-hari Wati adalah mobil Kia berwarna Perak.,Apa merek dan warna mobil Wati?,Kia berwarna Perak
Putri baru saja membeli mobil Mazda yang warnanya Ungu.,Apa warna mobil Mazda yang dibeli Putri?,Ungu
Hendra Pratama lahir dan dibesarkan di kota Padang.,Di mana Hendra Pratama lahir dan dibesarkan?,Padang
Andi baru saja membeli mobil Audi yang warnanya Merah.,Apa warna mobil Audi yang dibeli Andi?,Merah
Bayu baru saja membeli mobil Mazda yang warnanya Abu-abu.,Apa warna mobil Mazda yang dibeli Bayu?,Abu-abu
Ayu baru saja membeli mobil Ford yang warnanya Cokelat.,Apa warna mobil Ford yang dibeli Ayu?,Cokelat
"Nama lengkap orang ini adalah Lia Utama, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Lia Utama
Hendra Nasution lahir dan dibesarkan di kota Banjarmasin.,Di mana Hendra Nasution lahir dan dibesarkan?,Banjarmasin
Kendaraan sehari-hari Siti adalah mobil Ford berwarna Ungu.,Apa merek dan warna mobil Siti?,Ford berwarna Ungu
Dian baru saja membeli mobil BMW yang warnanya Abu-abu.,Apa warna mobil BMW yang dibeli Dian?,Abu-abu
Budi baru saja membeli mobil Kia yang warnanya Hitam.,Apa warna mobil Kia yang dibeli Budi?,Hitam
"Nama lengkap orang ini adalah Maya Wibowo, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Maya Wibowo
Dedy memiliki peliharaan Kelinci yang diberi nama Bubu.,Siapa nama Kelinci peliharaan Dedy?,Bubu
"Nama lengkap orang ini adalah Iwan Saputra, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Iwan Saputra
Kode rahasia untuk User_502 adalah 110195.,Apa kode rahasia untuk User_502?,110195
Mega baru saja membeli mobil Mazda yang warnanya Cokelat.,Apa warna mobil Mazda yang dibeli Mega?,Cokelat
"Nama lengkap orang ini adalah Hendra Rahman, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Hendra Rahman
Agus Saputra bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Agus Saputra?,Atlet
Joko memiliki peliharaan Kucing yang diberi nama Molly.,Siapa nama Kucing peliharaan Joko?,Molly
Andi Lim bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Andi Lim?,Desainer
Nita Setiawan bekerja sebagai seorang Pilot profesional.,Apa pekerjaan dari Nita Setiawan?,Pilot
"Nama lengkap orang ini adalah Rio Kusuma, dan dia berasal dari Balikpapan.",Siapa nama lengkap orang yang berasal dari Balikpapan ini?,Rio Kusuma
Sari baru saja membeli mobil Lexus yang warnanya Hijau.,Apa warna mobil Lexus yang dibeli Sari?,Hijau
Kode rahasia untuk User_593 adalah 106550.,Apa kode rahasia untuk User_593?,106550
Kode rahasia untuk User_773 adalah 977418.,Apa kode rahasia untuk User_773?,977418
Maya Saputra bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Maya Saputra?,Insinyur
Joko baru saja membeli mobil Toyota yang warnanya Kuning.,Apa warna mobil Toyota yang dibeli Joko?,Kuning
Aris baru saja membeli mobil Daihatsu yang warnanya Oranye.,Apa warna mobil Daihatsu yang dibeli Aris?,Oranye
Dian Suryono bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Dian Suryono?,Polisi
Hendra Siregar bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Hendra Siregar?,Polisi
Kendaraan sehari-hari Ayu adalah mobil Ford berwarna Oranye.,Apa merek dan warna mobil Ayu?,Ford berwarna Oranye
"Nama lengkap orang ini adalah Agus Utama, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Agus Utama
Kode rahasia untuk User_743 adalah 453770.,Apa kode rahasia untuk User_743?,453770
"Nama lengkap orang ini adalah Doni Purnama, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Doni Purnama
Iwan Halim bekerja sebagai seorang Guru profesional.,Apa pekerjaan dari Iwan Halim?,Guru
Hendra Utama bekerja sebagai seorang Penulis profesional.,Apa pekerjaan dari Hendra Utama?,Penulis
Kendaraan sehari-hari Putri adalah mobil Honda berwarna Emas.,Apa merek dan warna mobil Putri?,Honda berwarna Emas
Kode rahasia untuk User_181 adalah 384686.,Apa kode rahasia untuk User_181?,384686
Wati Suryono bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Wati Suryono?,Arsitek
Bayu Pratama bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Bayu Pratama?,Atlet
Kode rahasia untuk User_458 adalah 681023.,Apa kode rahasia untuk User_458?,681023
Joko Suryono bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Joko Suryono?,Aktor
Eko memiliki peliharaan Musang yang diberi nama Simba.,Siapa nama Musang peliharaan Eko?,Simba
Siti memiliki peliharaan Burung yang diberi nama Bella.,Siapa nama Burung peliharaan Siti?,Bella
Kendaraan sehari-hari Rio adalah mobil Lexus berwarna Hitam.,Apa merek dan warna mobil Rio?,Lexus berwarna Hitam
Rudi Saputra bekerja sebagai seorang Desainer profesional.,Apa pekerjaan dari Rudi Saputra?,Desainer
"Nama lengkap orang ini adalah Aris Saputra, dan dia berasal dari Surabaya.",Siapa nama lengkap orang yang berasal dari Surabaya ini?,Aris Saputra
"Nama lengkap orang ini adalah Tono Utama, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Tono Utama
Nina Purnama lahir dan dibesarkan di kota Mataram.,Di mana Nina Purnama lahir dan dibesarkan?,Mataram
Kode rahasia untuk User_264 adalah 546164.,Apa kode rahasia untuk User_264?,546164
Kode rahasia untuk User_761 adalah 950110.,Apa kode rahasia untuk User_761?,950110
Kode rahasia untuk User_210 adalah 787890.,Apa kode rahasia untuk User_210?,787890
Doni baru saja membeli mobil Kia yang warnanya Kuning.,Apa warna mobil Kia yang dibeli Doni?,Kuning
Kode rahasia untuk User_960 adalah 686773.,Apa kode rahasia untuk User_960?,686773
"Nama lengkap orang ini adalah Budi Wibowo, dan dia berasal dari Mataram.",Siapa nama lengkap orang yang berasal dari Mataram ini?,Budi Wibowo
Dedy Saputra bekerja sebagai seorang Polisi profesional.,Apa pekerjaan dari Dedy Saputra?,Polisi
Nina Putra lahir dan dibesarkan di kota Semarang.,Di mana Nina Putra lahir dan dibesarkan?,Semarang
Dewi Nasution bekerja sebagai seorang Pengusaha profesional.,Apa pekerjaan dari Dewi Nasution?,Pengusaha
Doni Suryono lahir dan dibesarkan di kota Malang.,Di mana Doni Suryono lahir dan dibesarkan?,Malang
Sari baru saja membeli mobil Audi yang warnanya Merah Muda.,Apa warna mobil Audi yang dibeli Sari?,Merah Muda
Kendaraan sehari-hari Joko adalah mobil Ford berwarna Merah Muda.,Apa merek dan warna mobil Joko?,Ford berwarna Merah Muda
Kode rahasia untuk User_326 adalah 434424.,Apa kode rahasia untuk User_326?,434424
Rudi Nugroho lahir dan dibesarkan di kota Manado.,Di mana Rudi Nugroho lahir dan dibesarkan?,Manado
"Nama lengkap orang ini adalah Sari Siregar, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Sari Siregar
Dedy baru saja membeli mobil Toyota yang warnanya Ungu.,Apa warna mobil Toyota yang dibeli Dedy?,Ungu
Kendaraan sehari-hari Lia adalah mobil Lexus berwarna Perak.,Apa merek dan warna mobil Lia?,Lexus berwarna Perak
Sari memiliki peliharaan Kelinci yang diberi nama Kiko.,Siapa nama Kelinci peliharaan Sari?,Kiko
Rina baru saja membeli mobil Honda yang warnanya Biru.,Apa warna mobil Honda yang dibeli Rina?,Biru
"Nama lengkap orang ini adalah Dedy Rahman, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Dedy Rahman
Dedy memiliki peliharaan Bebek yang diberi nama Luna.,Siapa nama Bebek peliharaan Dedy?,Luna
"Nama lengkap orang ini adalah Andi Utama, dan dia berasal dari Ambon.",Siapa nama lengkap orang yang berasal dari Ambon ini?,Andi Utama
Dewi memiliki peliharaan Ayam yang diberi nama Lucy.,Siapa nama Ayam peliharaan Dewi?,Lucy
"Nama lengkap orang ini adalah Ayu Utama, dan dia berasal dari Samarinda.",Siapa nama lengkap orang yang berasal dari Samarinda ini?,Ayu Utama
Dian baru saja membeli mobil Mazda yang warnanya Kuning.,Apa warna mobil Mazda yang dibeli Dian?,Kuning
Hadi Gunawan lahir dan dibesarkan di kota Jakarta.,Di mana Hadi Gunawan lahir dan dibesarkan?,Jakarta
Rudi memiliki peliharaan Hamster yang diberi nama Max.,Siapa nama Hamster peliharaan Rudi?,Max
Kendaraan sehari-hari Mega adalah mobil Daihatsu berwarna Oranye.,Apa merek dan warna mobil Mega?,Daihatsu berwarna Oranye
Agus Kusuma lahir dan dibesarkan di kota Surabaya.,Di mana Agus Kusuma lahir dan dibesarkan?,Surabaya
Kode rahasia untuk User_141 adalah 727884.,Apa kode rahasia untuk User_141?,727884
Kendaraan sehari-hari Hadi adalah mobil Suzuki berwarna Kuning.,Apa merek dan warna mobil Hadi?,Suzuki berwarna Kuning
Kendaraan sehari-hari Dedy adalah mobil Chevrolet berwarna Merah.,Apa merek dan warna mobil Dedy?,Chevrolet berwarna Merah
"Nama lengkap orang ini adalah Hendra Pratama, dan dia berasal dari Medan.",Siapa nama lengkap orang yang berasal dari Medan ini?,Hendra Pratama
Nina baru saja membeli mobil BMW yang warnanya Abu-abu.,Apa warna mobil BMW yang dibeli Nina?,Abu-abu
Maya memiliki peliharaan Ikan yang diberi nama Simba.,Siapa nama Ikan peliharaan Maya?,Simba
Rudi baru saja membeli mobil Mercedes-Benz yang warnanya Kuning.,Apa warna mobil Mercedes-Benz yang dibeli Rudi?,Kuning
Kode rahasia untuk User_813 adalah 302635.,Apa kode rahasia untuk User_813?,302635
"Nama lengkap orang ini adalah Agus Nugroho, dan dia berasal dari Padang.",Siapa nama lengkap orang yang berasal dari Padang ini?,Agus Nugroho
"Nama lengkap orang ini adalah Ayu Simanjuntak, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Ayu Simanjuntak
Dian Wibowo bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Dian Wibowo?,Atlet
"Nama lengkap orang ini adalah Ayu Suryono, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Ayu Suryono
Kode rahasia untuk User_767 adalah 201224.,Apa kode rahasia untuk User_767?,201224
Rudi baru saja membeli mobil Audi yang warnanya Merah Muda.,Apa warna mobil Audi yang dibeli Rudi?,Merah Muda
Dewi memiliki peliharaan Kucing yang diberi nama Daisy.,Siapa nama Kucing peliharaan Dewi?,Daisy
Wati Nasution lahir dan dibesarkan di kota Samarinda.,Di mana Wati Nasution lahir dan dibesarkan?,Samarinda
Dedy Suryono lahir dan dibesarkan di kota Kupang.,Di mana Dedy Suryono lahir dan dibesarkan?,Kupang
Kode rahasia untuk User_450 adalah 805933.,Apa kode rahasia untuk User_450?,805933
"Nama lengkap orang ini adalah Doni Setiawan, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Doni Setiawan
"Nama lengkap orang ini adalah Mega Pratama, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Mega Pratama
Mega baru saja membeli mobil Daihatsu yang warnanya Oranye.,Apa warna mobil Daihatsu yang dibeli Mega?,Oranye
Hadi Halim lahir dan dibesarkan di kota Pekanbaru.,Di mana Hadi Halim lahir dan dibesarkan?,Pekanbaru
"Nama lengkap orang ini adalah Fitri Nugroho, dan dia berasal dari Banjarmasin.",Siapa nama lengkap orang yang berasal dari Banjarmasin ini?,Fitri Nugroho
Kendaraan sehari-hari Rudi adalah mobil Honda berwarna Emas.,Apa merek dan warna mobil Rudi?,Honda berwarna Emas
Tono Hidayat bekerja sebagai seorang Insinyur profesional.,Apa pekerjaan dari Tono Hidayat?,Insinyur
Rina Utama bekerja sebagai seorang Arsitek profesional.,Apa pekerjaan dari Rina Utama?,Arsitek
Kode rahasia untuk User_307 adalah 304998.,Apa kode rahasia untuk User_307?,304998
Lia baru saja membeli mobil Suzuki yang warnanya Perak.,Apa warna mobil Suzuki yang dibeli Lia?,Perak
Kode rahasia untuk User_604 adalah 249007.,Apa kode rahasia untuk User_604?,249007
"Nama lengkap orang ini adalah Eko Nugroho, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Eko Nugroho
Rudi memiliki peliharaan Kucing yang diberi nama Nemo.,Siapa nama Kucing peliharaan Rudi?,Nemo
Fitri Halim lahir dan dibesarkan di kota Surabaya.,Di mana Fitri Halim lahir dan dibesarkan?,Surabaya
Kode rahasia untuk User_929 adalah 983374.,Apa kode rahasia untuk User_929?,983374
"Nama lengkap orang ini adalah Mega Halim, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Mega Halim
Dian Santoso lahir dan dibesarkan di kota Medan.,Di mana Dian Santoso lahir dan dibesarkan?,Medan
Dewi baru saja membeli mobil Lexus yang warnanya Putih.,Apa warna mobil Lexus yang dibeli Dewi?,Putih
Bayu baru saja membeli mobil Chevrolet yang warnanya Putih.,Apa warna mobil Chevrolet yang dibeli Bayu?,Putih
Rini memiliki peliharaan Burung yang diberi nama Milo.,Siapa nama Burung peliharaan Rini?,Milo
Bayu baru saja membeli mobil Toyota yang warnanya Perak.,Apa warna mobil Toyota yang dibeli Bayu?,Perak
Kode rahasia untuk User_281 adalah 592833.,Apa kode rahasia untuk User_281?,592833
Putri Siregar bekerja sebagai seorang Nelayan profesional.,Apa pekerjaan dari Putri Siregar?,Nelayan
"Nama lengkap orang ini adalah Aris Kusuma, dan dia berasal dari Malang.",Siapa nama lengkap orang yang berasal dari Malang ini?,Aris Kusuma
Dian Setiawan bekerja sebagai seorang Aktor profesional.,Apa pekerjaan dari Dian Setiawan?,Aktor
Dian Simanjuntak bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Dian Simanjuntak?,Tentara
Doni baru saja membeli mobil Suzuki yang warnanya Cokelat.,Apa warna mobil Suzuki yang dibeli Doni?,Cokelat
Siti memiliki peliharaan Kucing yang diberi nama Bubu.,Siapa nama Kucing peliharaan Siti?,Bubu
Kode rahasia untuk User_784 adalah 585776.,Apa kode rahasia untuk User_784?,585776
Joko Halim bekerja sebagai seorang Dokter profesional.,Apa pekerjaan dari Joko Halim?,Dokter
"Nama lengkap orang ini adalah Rio Setiawan, dan dia berasal dari Pekanbaru.",Siapa nama lengkap orang yang berasal dari Pekanbaru ini?,Rio Setiawan
Kode rahasia untuk User_707 adalah 872744.,Apa kode rahasia untuk User_707?,872744
"Nama lengkap orang ini adalah Joko Hidayat, dan dia berasal dari Kupang.",Siapa nama lengkap orang yang berasal dari Kupang ini?,Joko Hidayat
"Nama lengkap orang ini adalah Sari Suryono, dan dia berasal dari Bandung.",Siapa nama lengkap orang yang berasal dari Bandung ini?,Sari Suryono
Andi Simanjuntak bekerja sebagai seorang Tentara profesional.,Apa pekerjaan dari Andi Simanjuntak?,Tentara
Iwan memiliki peliharaan Ayam yang diberi nama Simba.,Siapa nama Ayam peliharaan Iwan?,Simba
Dian Nugroho bekerja sebagai seorang Atlet profesional.,Apa pekerjaan dari Dian Nugroho?,Atlet
Kendaraan sehari-hari Bayu adalah mobil Mercedes-Benz berwarna Hijau.,Apa merek dan warna mobil Bayu?,Mercedes-Benz berwarna Hijau
Kode rahasia untuk User_973 adalah 481252.,Apa kode rahasia untuk User_973?,481252
Sari memiliki peliharaan Burung yang diberi nama Simba.,Siapa nama Burung peliharaan Sari?,Simba
Iwan baru saja membeli mobil Toyota yang warnanya Merah.,Apa warna mobil Toyota yang dibeli Iwan?,Merah
Rio baru saja membeli mobil Hyundai yang warnanya Hijau.,Apa warna mobil Hyundai yang dibeli Rio?,Hijau
"Nama lengkap orang ini adalah Nita Gunawan, dan dia berasal dari Semarang.",Siapa nama lengkap orang yang berasal dari Semarang ini?,Nita Gunawan
